,Accuracy,Precision,Recall,F1,AUC,N,Contamination
ABOD,0.8203333333333334,0.56,0.5499181669394435,0.5549132947976879,0.7824562797711004,3000.0,0.2
ABOD,0.98825,0.4,0.41025641025641024,0.4050632911392405,0.9029576835686404,4000.0,0.01
ABOD,0.945,0.515,0.4557522123893805,0.4835680751173708,0.8124721546116652,4000.0,0.05
ABOD,0.90825,0.58,0.5382830626450116,0.5583634175691937,0.8392987045576144,4000.0,0.1
ABOD,0.83425,0.59,0.5848822800495663,0.5874299937772246,0.7988509561071286,4000.0,0.2
ABOD,0.9854,0.42,0.3230769230769231,0.3652173913043478,0.7902579689813732,5000.0,0.01
ABOD,0.9446,0.52,0.4529616724738676,0.48417132216014896,0.8372453388987832,5000.0,0.05
ABOD,0.9054,0.558,0.5254237288135594,0.5412221144519884,0.8160464282297931,5000.0,0.1
ABOD,0.8318,0.593,0.5774099318403116,0.5851011346817958,0.8024486608855148,5000.0,0.2
ABOD,0.988,0.4666666666666667,0.4117647058823529,0.43749999999999994,0.8507769426044186,6000.0,0.01
ABOD,0.9458333333333333,0.51,0.4622356495468278,0.48494453248811403,0.8373578890654051,6000.0,0.05
ABOD,0.9126666666666666,0.5833333333333334,0.5608974358974359,0.5718954248366014,0.816667978289072,6000.0,0.1
ABOD,0.832,0.5858333333333333,0.5790774299835255,0.5824357912178956,0.7931659542418821,6000.0,0.2
